-,-,-
21, 6, 997
21, 6, 997
20, 4, 1006
21, 3, 1003
21, 3, 1003
25, 3, 1002
57, 17, 1007
177, 10, 1015
177, 10, 1015
234, 22, 1010
382, 85, 987
410, 159, 999
351, 116, 1024
383, 81, 1005
383, 81, 1005
377, 48, 984
371, 15, 967
270, -55, 933
200, -76, 956
200, -76, 956
93, -72, 996
25, -65, 979
-25, -12, 1019
-98, -80, 982
-98, -80, 982
-139, -60, 1012
-179, -32, 1010
-218, -12, 982
-234, -6, 1027
-136, -10, 989
-110, -18, 1015
-102, -18, 978
-102, -18, 978
-126, 46, 988
-175, 111, 1014
-173, 84, 1003
-184, -20, 1011
-226, -58, 1017
-255, 19, 1001
-236, 28, 996
-,-,-
14, 14, 1008
29, -8, 994
15, 5, 1009
15, 5, 1009
16, 6, 1013
20, 10, 1007
66, 32, 1002
66, 32, 1002
242, 13, 997
340, -27, 1007
491, 16, 1006
489, 81, 1000
489, 81, 1000
488, 50, 1021
510, 10, 996
497, -33, 964
389, -69, 976
389, -69, 976
353, -109, 963
258, -113, 998
165, 0, 973
83, 25, 994
83, 25, 994
-60, 33, 1028
-172, 142, 1009
-195, 94, 1032
-228, -56, 974
-345, 9, 1002
-345, 9, 1002
-415, 2, 1016
-445, -59, 1015
-449, -107, 989
-406, -85, 960
-366, -10, 1016
-281, 56, 1026
-192, 59, 1020
-192, 59, 1020
-72, 11, 1018
-17, 62, 1005
11, 67, 1006
27, 31, 1003
27, 31, 1003
32, 17, 1006
-10, -14, 1005
-21, 8, 1006
-,-,-
35, -14, 1103
53, -16, 1112
149, -25, 1050
263, -11, 949
364, 0, 985
364, 0, 985
442, -28, 1090
487, 15, 1106
545, -26, 1044
604, -138, 958
596, -173, 895
569, -241, 914
569, -241, 914
452, -113, 923
298, -11, 984
196, 38, 1027
93, 83, 1116
-61, 148, 1158
-61, 148, 1158
-156, 80, 1104
-212, 77, 742
-273, 104, 634
-445, 32, 908
-531, 85, 987
-531, 85, 987
-506, 10, 997
-443, -23, 993
-331, -20, 1073
-232, 59, 1199
-124, 189, 1230
-17, 157, 1205
62, 99, 1119
62, 99, 1119
95, 55, 993
50, -6, 996
-4, 0, 1036
-4, 0, 1036
7, -19, 1041
0, 79, 995
0, 79, 995
-,-,-
-63, 62, 1126
17, 49, 1024
121, -73, 828
121, -73, 828
82, -182, 990
104, -132, 1140
231, 78, 1139
445, 40, 1013
552, 52, 960
552, 52, 960
647, -91, 991
719, -162, 967
759, -131, 851
754, -168, 755
619, -149, 888
619, -149, 888
410, -71, 1142
184, 105, 1279
111, 182, 1299
91, 0, 1111
-20, -86, 947
-20, -86, 947
-237, -43, 935
-437, -107, 1049
-629, -105, 1044
-734, -227, 1070
-762, -167, 957
-706, -71, 861
-629, 8, 1002
-473, 133, 1093
-300, 173, 1154
-127, 246, 1127
-3, 192, 1109
-,-,-
22, -10, 1000
23, 29, 1089
133, 27, 1077
275, -8, 884
275, -8, 884
382, -77, 926
458, -40, 1051
542, 71, 1060
670, 76, 941
670, 76, 941
753, -79, 791
751, -201, 792
697, -147, 884
620, -120, 1000
457, -74, 1065
238, 78, 1124
238, 78, 1124
83, 175, 1121
30, 52, 1134
-90, -45, 1034
-228, -147, 994
-411, -121, 1078
-520, -140, 1187
-532, -96, 1115
-532, -96, 1115
-437, -65, 936
-371, -32, 970
-405, -38, 1199
-377, 35, 1253
-297, -12, 1190
-248, 11, 1129
-,-,-
69, -101, 1091
185, -242, 1125
164, -100, 1008
199, 3, 938
329, 45, 1044
329, 45, 1044
506, 20, 1090
700, -10, 1103
854, -136, 1032
906, -153, 851
835, 5, 779
835, 5, 779
772, -150, 739
611, -136, 855
335, -100, 1129
52, -6, 1252
-53, -38, 1137
-53, -38, 1137
-172, -211, 1022
-401, -219, 1069
-567, -177, 1199
-655, -148, 1298
-651, -10, 1223
-522, 66, 935
-393, 47, 845
-419, 93, 1084
-434, 127, 1228
-387, 49, 1200
-,-,-
305, -85, 999
595, -110, 841
595, -110, 841
759, 6, 975
959, -33, 1131
1143, -45, 1210
1311, -236, 1031
1215, -213, 732
809, -77, 883
299, 160, 1149
299, 160, 1149
72, 121, 1147
-40, -337, 960
-347, -478, 797
-638, -505, 918
-849, -382, 1189
-901, -181, 1217
-810, -20, 1022
-750, 41, 955
-767, 55, 1051
-767, 55, 1051
-,-,-
424, -147, 956
437, -189, 1009
414, -9, 1008
414, -9, 1008
364, 60, 961
363, 5, 935
349, -159, 980
400, -415, 960
400, -415, 960
279, -70, 949
106, 264, 1160
183, -65, 1124
204, -42, 1005
151, -166, 1098
73, -241, 1080
-7, -61, 1013
-7, -61, 1013
-109, 124, 999
-146, 68, 1091
-161, -36, 1134
-165, -115, 1101
-207, -81, 1091
-311, 38, 1140
-416, -5, 1195
-416, -5, 1195
-,-,-
348, -53, 1116
362, 91, 1121
406, 97, 1069
456, -9, 916
437, -124, 956
437, -124, 956
332, 61, 1078
337, 105, 1115
411, -137, 949
397, -418, 960
345, -526, 891
103, 59, 966
103, 59, 966
49, 41, 1087
141, -119, 1021
119, -93, 1061
-22, 103, 1133
-90, 239, 1110
-90, 239, 1103
-95, 208, 1103
-124, 128, 1065
-202, -26, 1077
-279, -121, 1153
-375, -41, 1211
-432, -26, 1270
-457, -77, 1256
-460, 10, 1161
-,-,-
374, -49, 1107
421, 116, 932
421, 116, 932
467, 79, 920
424, 43, 1033
429, -6, 1100
496, -113, 979
496, -113, 792
475, 44, 792
373, 31, 870
313, -82, 959
293, -78, 926
292, -240, 927
292, -240, 927
226, -269, 938
